grid_id,n,avg_total_time,avg_travel_time,avg_total_distance,avg_travel_distance
1kmN3380E4305,"1",88.2,68.6166666666667,36728,35572
1kmN3380E4306,"3",88.2722222222222,66.2611111111111,25259.6666666667,24087
1kmN3380E4307,"6",86.9222222222222,58.6666666666667,26024.6666666667,24439
1kmN3380E4310,"5",63.6333333333333,37.8333333333333,11390,9933.8
1kmN3380E4311,"10",67.1083333333333,44.1016666666667,15795,14512.5
1kmN3380E4312,"8",74.7604166666667,44.54375,19224.75,17576.75
1kmN3380E4313,"2",44.2833333333333,16.45,5670,4143
1kmN3380E4319,"4",51.4791666666667,14.5125,5640.25,3495.25
1kmN3380E4322,"3",52.8388888888889,20.3333333333333,12375.3333333333,10631
1kmN3380E4323,"25",44.078,19.7606666666667,9785.12,8389.2
1kmN3380E4324,"15",42.04,17.2666666666667,7628.13333333333,6235.53333333333
1kmN3380E4325,"2",43.975,22.5,8481,7224
1kmN3380E4327,"5",52.62,27.05,11484.2,10054.6
1kmN3380E4328,"24",43.9722222222222,20.3608695652174,8610.04166666667,7543.82608695652
1kmN3380E4329,"32",42.1927083333333,19.0520833333333,8317.78125,7026.71875
1kmN3380E4330,"25",36.3033333333333,13.52,7314.88,6014.48
1kmN3380E4331,"14",31.8571428571429,15.2857142857143,7238.85714285714,6312.14285714286
1kmN3381E4314,"4",32.3333333333333,8,3928,2505
1kmN3381E4315,"6",27.4888888888889,16.5,4062.33333333333,4788.5
1kmN3381E4316,"2",61.0166666666667,22,14524,12202
1kmN3381E4317,"19",39.4140350877193,21.390350877193,10748.4736842105,9822.84210526316
1kmN3381E4318,"9",44.7907407407407,19.6666666666667,10632.6666666667,9205.44444444445
1kmN3381E4319,"17",31.1117647058824,15.75,6599.35294117647,6011.6875
1kmN3381E4320,"124",38.5528225806452,17.9406336088154,8460.40322580645,7439.68595041322
1kmN3381E4322,"12",42.5097222222222,16.5,9044.25,7592.91666666667
1kmN3381E4323,"18",40.5185185185185,15.7777777777778,9569.11111111111,8193.38888888889
1kmN3381E4324,"10",37.715,18.2,9662.6,8581.4
1kmN3381E4325,"29",49.9431034482759,17.8614942528736,8808.89655172414,6994.06896551724
1kmN3381E4326,"36",49.9421296296296,19.7148148148148,9103.22222222222,7394.83333333333
1kmN3381E4327,"26",36.8012820512821,16.2628205128205,8076.69230769231,6935.76923076923
1kmN3381E4328,"31",38.7096774193548,18.25,8558.03225806452,7596.66666666667
1kmN3381E4329,"29",39.0229885057471,15.9904761904762,8172.06896551724,7122.32142857143
1kmN3381E4330,"33",41.1444444444444,18.3609195402299,7809.21212121212,7311.06896551724
1kmN3381E4331,"4",47.95,17,7318,5690.25
1kmN3382E4309,"2",47.6333333333333,18,6666,5136
